TT,H_DNG_CD,SPOP,SIDO_NM,SGG_NM,ADMI_NM
20,11545670,32592.39,서울특별시,금천구,시흥1동
20,11545680,18720.24,서울특별시,금천구,시흥2동
20,11545690,11217.93,서울특별시,금천구,시흥3동
20,11545700,18939.02,서울특별시,금천구,시흥4동
20,11545710,14419.65,서울특별시,금천구,시흥5동
20,11560515,21309.45,서울특별시,영등포구,영등포본동
20,11560535,52487.7,서울특별시,영등포구,영등포동
20,11560540,88174.13,서울특별시,영등포구,여의동
20,11560550,26989.22,서울특별시,영등포구,당산1동
20,11560560,42010.03,서울특별시,영등포구,당산2동
20,11560585,19467.32,서울특별시,영등포구,도림동
20,11560605,41724.58,서울특별시,영등포구,문래동
20,11560610,19781.38,서울특별시,영등포구,양평1동
20,11560620,25011.02,서울특별시,영등포구,양평2동
